"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"IVD",2.08604302969892e-24,0.405296422934593,0.409,0.071,3.82580291646781e-20,"12","IVD"
"KIAA01252",2.26048996271453e-24,0.280574310900213,0.364,0.055,4.14573859161844e-20,"12","KIAA0125"
"MAN2B1",3.31311828281846e-24,0.38691440350109,0.394,0.067,6.07625893068905e-20,"12","MAN2B1"
"SMIM142",3.36790092418616e-24,0.605254291867196,0.697,0.185,6.17673029495742e-20,"12","SMIM14"
"CNP",3.53234522153796e-24,0.486307918231045,0.439,0.083,6.47832113630062e-20,"12","CNP"
"TACC1",3.87492622526439e-24,0.690533021058044,0.652,0.173,7.1066146971349e-20,"12","TACC1"
"TP53I13",4.60852017198942e-24,0.381649655541266,0.424,0.076,8.4520259954286e-20,"12","TP53I13"
"SLC3A2",5.22616477592893e-24,0.588300120244426,0.788,0.228,9.58478619905365e-20,"12","SLC3A2"
"SLC2A1",5.33063231401372e-24,0.303454344199036,0.288,0.038,9.77637966390117e-20,"12","SLC2A1"
"NGLY1",5.70888486670615e-24,0.623421870771939,0.591,0.143,1.04700948455391e-19,"12","NGLY1"
"OAS11",7.243607568599e-24,0.391995398293682,0.439,0.082,1.32847762808106e-19,"12","OAS1"
"TM7SF2",7.27981810427345e-24,0.30009423958433,0.288,0.038,1.33511864032375e-19,"12","TM7SF2"
"NPC1",1.57739838480873e-23,0.265383716377071,0.258,0.032,2.8929486377392e-19,"12","NPC1"
"USF2",1.59544179507126e-23,0.59148672364489,0.727,0.2,2.9260402521607e-19,"12","USF2"
"TIMM133",1.62637680022492e-23,0.638184756543672,0.909,0.306,2.98277505161251e-19,"12","TIMM13"
"HLA-DMB9",2.0764568953262e-23,0.664489094558429,0.924,0.314,3.80822194602824e-19,"12","HLA-DMB"
"OSTC2",2.52635434080015e-23,0.802742714801524,0.894,0.39,4.63333386102747e-19,"12","OSTC"
"MARCH9",2.84985473439285e-23,0.303660786607183,0.333,0.051,5.22663358287649e-19,"12","MARCH9"
"ARHGAP17",2.88996989112299e-23,0.338706728009921,0.439,0.082,5.30020478031957e-19,"12","ARHGAP17"
"SIVA1",2.9588767475017e-23,0.670839762628707,0.894,0.331,5.42657995491811e-19,"12","SIVA1"
"ARHGAP271",5.464340932553e-23,0.416355231231356,0.47,0.094,1.00216012703022e-18,"12","ARHGAP27"
"SHTN11",6.0718883678044e-23,0.398414667497435,0.333,0.053,1.11358432665533e-18,"12","SHTN1"
"CYSLTR11",1.19622638800629e-22,0.438607623764278,0.5,0.106,2.19387919560353e-18,"12","CYSLTR1"
"TMEM141",1.37253945061828e-22,0.468600367145725,0.682,0.175,2.51723735243392e-18,"12","TMEM141"
"ANTXR2",1.84080190007558e-22,0.304040056061359,0.379,0.065,3.37603068473862e-18,"12","ANTXR2"
"NME4",1.86920986555783e-22,0.457381583317957,0.424,0.082,3.42813089343307e-18,"12","NME4"
"NUS1",1.98955516954376e-22,0.374006712647216,0.515,0.109,3.64884418094326e-18,"12","NUS1"
"NADK1",2.15207177025849e-22,0.462687261902045,0.515,0.114,3.94689962665408e-18,"12","NADK"
"MAGED1",3.25001240258063e-22,0.346284688132188,0.303,0.045,5.96052274633287e-18,"12","MAGED1"
"DHRS74",6.93394172870053e-22,0.655489745001885,0.879,0.322,1.27168491304368e-17,"12","DHRS7"
"PPIA2",7.51232431804112e-22,0.587244246656312,1,0.869,1.37776027992874e-17,"12","PPIA"
"ALDH23",7.84928818367937e-22,0.512475442545836,0.576,0.138,1.4395594528868e-17,"12","ALDH2"
"MCM5",8.73064865057662e-22,0.343710951571934,0.439,0.086,1.60120096251575e-17,"12","MCM5"
"ERP29",1.03598411985817e-21,0.769944969743591,1,0.68,1.89999487581987e-17,"12","ERP29"
"SERF29",1.34979004490744e-21,0.526226482466002,1,0.971,2.47551494236024e-17,"12","SERF2"
"MYL610",1.58250937673831e-21,0.548818810495547,1,0.935,2.90232219693806e-17,"12","MYL6"
"CHCHD2",2.66983861174618e-21,0.762820003441909,0.985,0.803,4.89648401394249e-17,"12","CHCHD2"
"BRI311",2.75612432808879e-21,0.603318000585248,0.788,0.251,5.05473201771485e-17,"12","BRI3"
"ATP5E7",4.56641752139836e-21,0.527536744493264,1,0.976,8.37480973424459e-17,"12","ATP5E"
