"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Arg28",2.90079511023394e-22,0.499212966400835,0.712,0.238,4.06865522161413e-18,"8","Arg2"
"Fdps1",4.26840167213141e-22,0.468045189407719,0.541,0.161,5.98686018533152e-18,"8","Fdps"
"2010107E04Rik",4.62046040530971e-22,0.265746859816287,0.369,0.081,6.48065776448739e-18,"8","2010107E04Rik"
"Snrnp251",4.64666401235669e-22,0.3720413563107,0.387,0.092,6.51741094373149e-18,"8","Snrnp25"
"Yipf6",4.81393197209242e-22,0.290243136432857,0.414,0.099,6.75202098405683e-18,"8","Yipf6"
"Fam96a",5.69156661954299e-22,0.449080858696313,0.604,0.19,7.982991340571e-18,"8","Fam96a"
"Tst6",5.87212702065536e-22,0.482096504791696,0.667,0.232,8.23624535917121e-18,"8","Tst"
"Gjb41",7.18222727164073e-22,0.305599642238203,0.297,0.057,1.00737919712033e-17,"8","Gjb4"
"Wnt5a1",7.39875932058992e-22,0.42613812272959,0.405,0.098,1.03774998230594e-17,"8","Wnt5a"
"Mtmr72",7.51385461405479e-22,0.320541086923442,0.423,0.104,1.05389324816732e-17,"8","Mtmr7"
"Kpnb1",8.48207189479164e-22,0.350851235322765,0.405,0.097,1.18969540396348e-17,"8","Kpnb1"
"Cmtm87",1.06293393693564e-21,0.441316661255522,0.739,0.264,1.49087113994593e-17,"8","Cmtm8"
"Mpi",1.18104413334266e-21,0.252015441732619,0.27,0.049,1.65653250142641e-17,"8","Mpi"
"Ap2s11",1.21677978907848e-21,0.522357610257085,0.829,0.356,1.70665533216148e-17,"8","Ap2s1"
"Fam210b5",1.46969220375511e-21,0.436822565537115,0.712,0.249,2.06139028498691e-17,"8","Fam210b"
"Ptrh2",1.77952315155805e-21,0.273129990669196,0.396,0.094,2.49595917237532e-17,"8","Ptrh2"
"Ncaph2",2.16333886510629e-21,0.397812074196441,0.631,0.206,3.03429909219809e-17,"8","Ncaph2"
"Ssbp44",2.20529254863825e-21,0.51087716631112,0.604,0.202,3.09314332872001e-17,"8","Ssbp4"
"Ormdl26",2.51880709980983e-21,0.467969689412691,0.685,0.243,3.53287883819327e-17,"8","Ormdl2"
"Gm100933",2.56085015935687e-21,0.521733020061412,0.748,0.304,3.59184843351395e-17,"8","Gm10093"
"Psmg3",3.09671860391111e-21,0.256672543536262,0.405,0.097,4.34345751384573e-17,"8","Psmg3"
"Rab258",3.30821930247577e-21,0.548090529661131,0.829,0.345,4.64010839365251e-17,"8","Rab25"
