"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"RAB31",5.05346645313717e-214,0.77767153379551,0.4,0.08,"0","RAB31"
"CYP1B1",3.6247350645101e-213,0.995226704148493,0.253,0.017,"0","CYP1B1"
"FNDC3B",1.97163997746068e-212,0.728813002066703,0.312,0.039,"0","FNDC3B"
"LIMS1",3.58448207574965e-209,0.664313109582688,0.502,0.15,"0","LIMS1"
"TALDO1",2.43319453802737e-208,0.66283656350516,0.65,0.263,"0","TALDO1"
"ASAH1",4.66737662672354e-208,0.721260694753002,0.444,0.111,"0","ASAH1"
"RAB32",4.80224931211888e-207,0.802773598219572,0.348,0.057,"0","RAB32"
"TMEM50A",2.75927940229526e-205,0.49813744011025,0.817,0.441,"0","TMEM50A"
"ACTB",8.03195562635282e-205,0.393150968177697,0.991,0.839,"0","ACTB"
"NADK",1.03875431279905e-204,0.741224202225738,0.344,0.055,"0","NADK"
"C9orf89",2.31496472506595e-203,0.754516032479391,0.401,0.086,"0","C9orf89"
"PPP1R15A",6.38761207853672e-203,0.70487224292273,0.451,0.117,"0","PPP1R15A"
"LILRB2",1.65974104748726e-202,0.704405112287397,0.41,0.094,"0","LILRB2"
"IFI30",8.80945260497578e-200,0.767833911165722,0.388,0.081,"0","IFI30"
"PKM",3.91375059677583e-199,0.394254744484476,0.764,0.398,"0","PKM"
"RGL1",5.79139147967121e-199,0.717872396720767,0.288,0.034,"0","RGL1"
"LGALS2",3.00227104961767e-198,0.830776559629911,0.267,0.026,"0","LGALS2"
"SDSL",4.77372370194135e-198,0.764813929339235,0.289,0.036,"0","SDSL"
"SAMD9L",1.4873501638218e-197,0.456690272285555,0.842,0.48,"0","SAMD9L"
"P2RX4",2.96296866532935e-197,0.700639174211981,0.319,0.047,"0","P2RX4"
"GBP1",4.16448148291307e-197,0.477558259887783,0.906,0.565,"0","GBP1"
"SNX3",1.14828623245951e-196,0.558314996415206,0.783,0.413,"0","SNX3"
"LAPTM5",1.10477588362194e-195,0.436178113694228,0.854,0.492,"0","LAPTM5"
"GMPR",1.61763133741696e-195,0.748803472739852,0.421,0.101,"0","GMPR"
"AQP9",1.24995234103375e-194,0.788039861675066,0.326,0.051,"0","AQP9"
"RRAGC",7.39035240222021e-192,0.656577554408001,0.435,0.115,"0","RRAGC"
"IRG1",2.50644422697711e-191,0.838813410865181,0.295,0.039,"0","IRG1"
"CFLAR",4.59952514601136e-190,0.507301473858559,0.675,0.312,"0","CFLAR"
"CD14",9.38608247329761e-189,0.952007417223321,0.257,0.025,"0","CD14"
"MPP1",3.82536987865964e-187,0.677418117803421,0.294,0.041,"0","MPP1"
