"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cldn33",7.63559022816561e-60,0.810502722178353,0.978,0.523,1.05760560250322e-55,"3","Cldn3"
"Kcnn4",4.20042410528211e-57,0.624404106413887,0.433,0.089,5.81800742822625e-53,"3","Kcnn4"
"Hrct1",6.77744581434552e-57,0.671696740164685,0.374,0.067,9.38744019744997e-53,"3","Hrct1"
"Cldn73",3.88705280817933e-56,0.760370833443433,0.889,0.436,5.38395684460919e-52,"3","Cldn7"
"Tnfaip2",8.98976426260783e-56,0.520990233466222,0.296,0.041,1.24517224801381e-51,"3","Tnfaip2"
"Gjb2",3.52316164882895e-54,0.491311097599286,0.259,0.031,4.87993119979297e-50,"3","Gjb2"
"Rpl141",4.03991484497446e-53,0.289177212817446,1,1,5.59568605177412e-49,"3","Rpl14"
"Wnt5b",8.4473029443874e-53,0.678678009325716,0.548,0.16,1.1700359308271e-48,"3","Wnt5b"
"Rps6",2.88602152497398e-52,0.312962892015269,1,0.998,3.99742841424145e-48,"3","Rps6"
"Slc28a3",6.21404798197372e-52,0.700826617599706,0.359,0.066,8.6070778598318e-48,"3","Slc28a3"
"Aldoc2",4.60321012099812e-51,0.771159772162831,0.722,0.29,6.3759063385945e-47,"3","Aldoc"
"Fam3c2",7.61865253064655e-50,0.831496334842862,0.807,0.414,1.05525956201985e-45,"3","Fam3c"
"Csn2",9.72252252812458e-47,1.41591735404256,0.396,0.095,1.34666659537054e-42,"3","Csn2"
"Rftn1",2.6672805360944e-46,0.563314642204072,0.274,0.042,3.69445027054436e-42,"3","Rftn1"
"Ptges",4.95949132162815e-46,0.649687487489112,0.485,0.144,6.86939142958714e-42,"3","Ptges"
"Snta1",1.13834348941122e-45,0.57452821067273,0.363,0.079,1.57671956718349e-41,"3","Snta1"
"Spns3",1.61073237611636e-43,0.568342348627164,0.333,0.069,2.23102541415878e-39,"3","Spns3"
"Crabp2",4.83835402245828e-43,0.560279590424845,0.463,0.129,6.70160415650697e-39,"3","Crabp2"
"Taldo11",3.40204600736416e-42,0.619159535951143,0.881,0.688,4.7121739248001e-38,"3","Taldo1"
"Hebp1",4.52063954395631e-42,0.708815466269855,0.496,0.161,6.26153783233388e-38,"3","Hebp1"
"Cmas",3.09312170687209e-41,0.584162212176284,0.511,0.17,4.28428287618854e-37,"3","Cmas"
"Nfe2l3",7.24995604860606e-41,0.510715102701387,0.33,0.073,1.00419141229243e-36,"3","Nfe2l3"
"Clta1",5.37278455457545e-40,0.609784501336636,0.904,0.753,7.44184388654246e-36,"3","Clta"
"Ccnd1",1.45261641454841e-39,0.782876398256883,0.696,0.366,2.01201899579101e-35,"3","Ccnd1"
"Cyba1",1.18939144770378e-38,0.690872229890221,0.815,0.542,1.64742609421451e-34,"3","Cyba"
"Cxcl162",3.29062709407844e-38,0.605983788892461,0.541,0.196,4.55784758800805e-34,"3","Cxcl16"
"Plscr11",1.88002419132766e-37,0.674956224926234,0.656,0.318,2.60402150740794e-33,"3","Plscr1"
"Rps4x1",4.90852585844857e-37,0.282248596840715,1,0.999,6.79879916653712e-33,"3","Rps4x"
"Epcam3",1.15376228452478e-36,0.5914296024725,0.974,0.832,1.59807614029527e-32,"3","Epcam"
"Trim47",1.51751438613037e-35,0.591529088476376,0.474,0.163,2.10190917622918e-31,"3","Trim47"
"Shisa2",2.96287312539925e-35,0.457378272765122,0.337,0.084,4.1038755659905e-31,"3","Shisa2"
